,ProjectName,PrimaryLanguage,Stars,TotalOfPullRequests,TotalOfIssues,TotalOfForks,Engagement
379,witheve/Eve,TypeScript,7096,334,559,256,383.0
380,pmndrs/use-gesture,TypeScript,7081,177,277,270,241.33333333333334
381,keystonejs/keystone,TypeScript,7069,5962,1441,896,2766.3333333333335
382,deepstreamIO/deepstream.io,TypeScript,7021,365,740,402,502.3333333333333
383,vuejs/petite-vue,TypeScript,6989,40,0,280,106.66666666666667
384,IvanGoncharov/graphql-voyager,TypeScript,6966,86,159,465,236.66666666666666
385,BuilderIO/mitosis,TypeScript,6947,539,295,259,364.3333333333333
386,any86/any-rule,TypeScript,6943,75,190,715,326.6666666666667
387,microsoft/azuredatastudio,TypeScript,6934,10436,10287,819,7180.666666666667
388,akveo/kittenTricks,TypeScript,6916,150,151,1000,433.6666666666667
389,guess-js/guess,TypeScript,6869,475,88,205,256.0
390,electron/fiddle,TypeScript,6811,814,356,671,613.6666666666666
391,visgl/react-map-gl,TypeScript,6810,836,903,1229,989.3333333333334
392,vitest-dev/vitest,TypeScript,6772,1058,867,546,823.6666666666666
393,apify/crawlee,TypeScript,6768,963,574,319,618.6666666666666
394,actions/starter-workflows,TypeScript,6763,970,347,5292,2203.0
395,Saul-Mirone/milkdown,TypeScript,6736,296,326,305,309.0
396,eclipse/che,TypeScript,6731,7548,14216,1210,7658.0
397,material-shell/material-shell,TypeScript,6712,269,600,175,348.0
398,labs42io/clean-code-typescript,TypeScript,6676,35,22,828,295.0
399,HospitalRun/hospitalrun-frontend,TypeScript,6656,2031,932,2133,1698.6666666666667
400,getsentry/sentry-javascript,TypeScript,6620,3150,2706,1324,2393.3333333333335
401,jquery/esprima,TypeScript,6618,780,651,790,740.3333333333334
402,total-typescript/beginners-typescript-tutorial,TypeScript,6603,40,19,684,247.66666666666666
403,software-mansion/react-native-reanimated,TypeScript,6593,1621,1640,981,1414.0
404,rough-stuff/rough-notation,TypeScript,6567,32,42,153,75.66666666666667
405,mobxjs/mobx-state-tree,TypeScript,6557,658,1135,614,802.3333333333334
406,Unleash/unleash,TypeScript,6523,1682,533,440,885.0
407,bytedance/IconPark,TypeScript,6505,29,577,387,331.0
408,vanilla-extract-css/vanilla-extract,TypeScript,6495,412,186,171,256.3333333333333
409,sindresorhus/caprine,TypeScript,6472,516,1432,574,840.6666666666666
410,vmware/clarity,TypeScript,6463,2806,3735,759,2433.3333333333335
411,baconjs/bacon.js,TypeScript,6423,344,458,339,380.3333333333333
412,yocontra/react-responsive,TypeScript,6413,102,203,311,205.33333333333334
413,ben-rogerson/twin.macro,TypeScript,6396,200,284,156,213.33333333333334
414,graphql/express-graphql,TypeScript,6366,550,257,594,467.0
415,radix-ui/primitives,TypeScript,6356,822,642,233,565.6666666666666
416,linkedin/css-blocks,TypeScript,6348,328,241,159,242.66666666666666
417,vercel/commerce,TypeScript,6324,392,353,2193,979.3333333333334
418,thedevs-network/kutt,TypeScript,6320,171,441,758,456.6666666666667
419,DouyinFE/semi-design,TypeScript,6312,644,533,491,556.0
420,maxogden/menubar,TypeScript,6292,197,192,381,256.6666666666667
421,voidcosmos/npkill,TypeScript,6292,57,77,159,97.66666666666667
422,ariakit/ariakit,TypeScript,6271,1387,439,340,722.0
423,Kaiyiwing/qwerty-learner,TypeScript,6246,74,181,478,244.33333333333334
424,yezihaohao/react-admin,TypeScript,6235,31,118,1820,656.3333333333334
425,zhongsp/TypeScript,TypeScript,6179,195,146,1036,459.0
426,ianstormtaylor/superstruct,TypeScript,6171,887,236,212,445.0
427,TypeStrong/typedoc,TypeScript,6168,541,1527,623,897.0
428,kulshekhar/ts-jest,TypeScript,6166,2923,877,402,1400.6666666666667
429,antfu/vitesse,TypeScript,6163,174,192,689,351.6666666666667
430,midwayjs/midway,TypeScript,6148,1569,822,450,947.0
431,microsoft/vscode-extension-samples,TypeScript,6137,289,403,2695,1129.0
432,webiny/webiny-js,TypeScript,6132,1417,1180,492,1029.6666666666667
433,telegraf/telegraf,TypeScript,6109,505,1011,815,777.0
434,nodegui/react-nodegui,TypeScript,6066,248,127,156,177.0
435,tensorflow/tensorboard,TypeScript,6001,4286,1686,1548,2506.6666666666665
436,timolins/react-hot-toast,TypeScript,5975,64,146,199,136.33333333333334
437,microsoft/vscode-go,TypeScript,5970,778,2464,690,1310.6666666666667
438,formkit/auto-animate,TypeScript,5969,26,77,99,67.33333333333333
439,alibaba/BizCharts,TypeScript,5959,196,1334,674,734.6666666666666
440,curlconverter/curlconverter,TypeScript,5933,196,237,645,359.3333333333333
441,palantir/tslint,TypeScript,5918,2156,2764,934,1951.3333333333333
442,vuejs/vitepress,TypeScript,5911,631,758,948,779.0
443,clauderic/dnd-kit,TypeScript,5908,242,521,310,357.6666666666667
444,angular/flex-layout,TypeScript,5905,454,969,770,731.0
445,react-native-device-info/react-native-device-info,TypeScript,5899,622,849,1403,958.0
446,nteract/nteract,TypeScript,5896,3965,1679,572,2072.0
447,taniarascia/takenote,TypeScript,5895,337,245,987,523.0
448,microsoft/SandDance,TypeScript,5879,312,230,483,341.6666666666667
449,GoogleChrome/rendertron,TypeScript,5871,706,280,645,543.6666666666666
450,BishopFox/unredacter,TypeScript,5855,9,18,556,194.33333333333334
451,ethers-io/ethers.js,TypeScript,5835,364,1988,1284,1212.0
452,octokit/octokit.js,TypeScript,5814,1229,873,1030,1044.0
453,vuejs/vue-class-component,TypeScript,5783,170,455,427,350.6666666666667
454,windicss/windicss,TypeScript,5783,156,480,158,264.6666666666667
455,jkchao/typescript-book-chinese,TypeScript,5777,228,48,622,299.3333333333333
456,johannesjo/super-productivity,TypeScript,5775,567,1293,537,799.0
457,gcanti/io-ts,TypeScript,5756,253,406,308,322.3333333333333
458,ajayyy/SponsorBlock,TypeScript,5746,531,957,204,564.0
459,SoftwareBrothers/adminjs,TypeScript,5736,365,889,459,571.0
460,graphql-editor/graphql-editor,TypeScript,5685,125,376,271,257.3333333333333
461,dinerojs/dinero.js,TypeScript,5661,528,102,183,271.0
462,open-cli-tools/concurrently,TypeScript,5638,156,216,220,197.33333333333334
463,yarnpkg/berry,TypeScript,5636,2263,2204,880,1782.3333333333333
464,adazzle/react-data-grid,TypeScript,5635,1533,1373,2038,1648.0
465,vuejs/vetur,TypeScript,5613,1593,1935,583,1370.3333333333333
466,express-validator/express-validator,TypeScript,5608,349,833,576,586.0
467,pmndrs/valtio,TypeScript,5582,265,191,171,209.0
468,reach/reach-ui,TypeScript,5579,404,533,544,493.6666666666667
469,7kms/react-illustration-series,TypeScript,5553,57,38,591,228.66666666666666
470,tradingview/lightweight-charts,TypeScript,5510,341,701,1080,707.3333333333334
471,markdoc/markdoc,TypeScript,5499,91,74,88,84.33333333333333
472,penrose/penrose,TypeScript,5497,564,553,255,457.3333333333333
473,sachinchoolur/lightGallery,TypeScript,5474,148,1178,1227,851.0
474,reactchartjs/react-chartjs-2,TypeScript,5444,393,683,1165,747.0
475,este/este,TypeScript,5433,475,1238,538,750.3333333333334
476,ecomfe/zrender,TypeScript,5433,424,542,1520,828.6666666666666
477,kaorun343/vue-property-decorator,TypeScript,5430,103,334,377,271.3333333333333
478,Vanessa219/vditor,TypeScript,5428,123,1192,594,636.3333333333334
479,valor-software/ngx-bootstrap,TypeScript,5419,3157,3355,1686,2732.6666666666665
480,yinxin630/fiora,TypeScript,5412,240,278,1091,536.3333333333334
481,x-extends/vxe-table,TypeScript,5382,60,1809,808,892.3333333333334
482,elastic/eui,TypeScript,5377,3531,2709,720,2320.0
483,naver/billboard.js,TypeScript,5376,1825,1069,339,1077.6666666666667
484,BotsAppOfficial/BotsApp,TypeScript,5365,90,69,1214,457.6666666666667
485,apihero-run/jsonhero-web,TypeScript,5359,50,74,229,117.66666666666667
486,leongersen/noUiSlider,TypeScript,5336,166,1059,673,632.6666666666666
487,aidenybai/million,TypeScript,5318,176,76,147,133.0
488,serialport/node-serialport,TypeScript,5311,847,1634,992,1157.6666666666667
489,microsoft/BosqueLanguage,TypeScript,5310,319,210,311,280.0
490,CJex/regulex,TypeScript,5297,5,52,702,253.0
491,typestack/class-transformer,TypeScript,5275,826,545,415,595.3333333333334
492,prevwong/craft.js,TypeScript,5257,163,248,525,312.0
493,learnapollo/learnapollo,TypeScript,5249,54,35,67,52.0
494,maximegris/angular-electron,TypeScript,5245,146,576,1318,680.0
495,arwes/arwes,TypeScript,5204,49,104,236,129.66666666666666
496,mikro-orm/mikro-orm,TypeScript,5200,1324,1659,345,1109.3333333333333
497,Choices-js/Choices,TypeScript,5198,372,690,546,536.0
498,nhn/tui.chart,TypeScript,5155,439,270,323,344.0
499,electron-userland/electron-forge,TypeScript,5126,1955,1022,392,1123.0
500,software-mansion/react-native-gesture-handler,TypeScript,5086,1034,1071,859,988.0
501,react-native-webview/react-native-webview,TypeScript,5083,674,1965,2545,1728.0
502,satya164/react-native-tab-view,TypeScript,5063,360,978,1096,811.3333333333334
503,screego/server,TypeScript,5049,42,94,327,154.33333333333334
504,elastic/elasticsearch-js,TypeScript,5033,887,893,716,832.0
505,kolodny/immutability-helper,TypeScript,5025,48,129,196,124.33333333333333
506,Shopify/polaris,TypeScript,5021,4239,3131,972,2780.6666666666665
507,react-native-modal/react-native-modal,TypeScript,5002,228,444,593,421.6666666666667
508,realm/realm-js,TypeScript,4999,2159,2802,512,1824.3333333333333
509,ardatan/graphql-tools,TypeScript,4952,3456,1113,747,1772.0
510,apertureless/vue-chartjs,TypeScript,4931,341,595,755,563.6666666666666
511,browserless/chrome,TypeScript,4919,2409,363,487,1086.3333333333333
512,prisma-labs/graphql-request,TypeScript,4906,185,213,267,221.66666666666666
513,millsp/ts-toolbelt,TypeScript,4906,45,205,115,121.66666666666667
514,alangpierce/sucrase,TypeScript,4905,553,203,122,292.6666666666667
515,dicebear/dicebear,TypeScript,4904,35,139,174,116.0
516,tutao/tutanota,TypeScript,4903,1105,3499,481,1695.0
517,vuejs/vue-loader,TypeScript,4879,556,1426,920,967.3333333333334
518,dilame/instagram-private-api,TypeScript,4872,322,1317,1053,897.3333333333334
519,jakearchibald/idb,TypeScript,4872,71,211,323,201.66666666666666
520,google/model-viewer,TypeScript,4865,1170,1529,588,1095.6666666666667
521,thelounge/thelounge,TypeScript,4864,3211,1413,627,1750.3333333333333
522,santiq/bulletproof-nodejs,TypeScript,4862,70,71,1104,415.0
523,jef/streetmerchant,TypeScript,4858,1371,904,1358,1211.0
524,williamngan/pts,TypeScript,4857,75,119,175,123.0
525,alephjs/aleph.js,TypeScript,4853,127,312,164,201.0
526,mobxjs/mobx-react,TypeScript,4848,233,671,373,425.6666666666667
527,wix/react-native-ui-lib,TypeScript,4846,1692,509,607,936.0
528,hustcc/timeago.js,TypeScript,4843,153,103,407,221.0
529,xinthink/react-native-material-kit,TypeScript,4842,158,305,605,356.0
530,konvajs/react-konva,TypeScript,4839,102,607,227,312.0
531,microsoft/vscode-cpptools,TypeScript,4817,2010,7435,1419,3621.3333333333335
532,bitwarden/clients,TypeScript,4776,1764,2095,619,1492.6666666666667
533,testing-library/react-hooks-testing-library,TypeScript,4765,697,214,208,373.0
534,vercel/satori,TypeScript,4746,139,93,61,97.66666666666667
535,airbnb/ts-migrate,TypeScript,4741,93,91,176,120.0
536,bitcoinjs/bitcoinjs-lib,TypeScript,4730,831,987,1849,1222.3333333333333
537,Jigsaw-Code/outline-server,TypeScript,4723,630,553,651,611.3333333333334
538,system-ui/theme-ui,TypeScript,4720,1502,636,634,924.0
539,buuing/lucky-canvas,TypeScript,4710,11,311,619,313.6666666666667
540,openkraken/kraken,TypeScript,4706,606,751,280,545.6666666666666
541,gpbl/react-day-picker,TypeScript,4696,628,759,601,662.6666666666666
542,NarrativeScience/log.io,TypeScript,4691,48,219,695,320.6666666666667
543,dendronhq/dendron,TypeScript,4679,1949,1590,181,1240.0
544,numbersprotocol/nit,TypeScript,4674,1,7,0,2.6666666666666665
545,cucumber/cucumber-js,TypeScript,4668,1015,1124,1037,1058.6666666666667
546,logto-io/logto,TypeScript,4652,2076,144,136,785.3333333333334
547,gothinkster/angular-realworld-example-app,TypeScript,4651,127,102,2632,953.6666666666666
548,danger/danger-js,TypeScript,4648,755,458,340,517.6666666666666
549,mgechev/angular-seed,TypeScript,4622,1001,1454,1511,1322.0
550,webclipper/web-clipper,TypeScript,4620,701,419,400,506.6666666666667
551,nhost/nhost,TypeScript,4597,561,368,245,391.3333333333333
552,sindresorhus/modern-normalize,TypeScript,4597,29,36,317,127.33333333333333
553,Flipkart/recyclerlistview,TypeScript,4596,218,526,387,377.0
554,gvergnaud/ts-pattern,TypeScript,4590,36,72,47,51.666666666666664
555,piotrwitek/utility-types,TypeScript,4557,75,102,196,124.33333333333333
556,NomicFoundation/hardhat,TypeScript,4533,1613,1617,952,1394.0
557,microsoft/rushstack,TypeScript,4525,2317,1381,500,1399.3333333333333
558,yaklang/yakit,TypeScript,4514,207,283,678,389.3333333333333
559,swimlane/ngx-datatable,TypeScript,4511,557,1559,1629,1248.3333333333333
560,changesets/changesets,TypeScript,4499,514,434,315,421.0
561,torokmark/design_patterns_in_typescript,TypeScript,4484,13,6,688,235.66666666666666
562,lit/lit-element,TypeScript,4482,480,714,331,508.3333333333333
563,burtonator/polar-bookshelf,TypeScript,4481,79,1548,277,634.6666666666666
564,ritwickdey/vscode-live-server,TypeScript,4476,101,2510,898,1169.6666666666667
565,edp963/davinci,TypeScript,4475,1338,976,1755,1356.3333333333333
566,unform/unform,TypeScript,4474,221,222,513,318.6666666666667
567,searchkit/searchkit,TypeScript,4469,585,561,426,524.0
568,PlasmoHQ/plasmo,TypeScript,4467,84,163,98,115.0
569,altair-graphql/altair,TypeScript,4459,1075,941,215,743.6666666666666
570,brick-design/brick-design,TypeScript,4458,27,36,690,251.0
571,Uniswap/web3-react,TypeScript,4455,238,378,1130,582.0
572,colyseus/colyseus,TypeScript,4443,164,377,436,325.6666666666667
573,prettier/prettier-vscode,TypeScript,4439,1284,1463,410,1052.3333333333333
574,Hopding/pdf-lib,TypeScript,4437,242,915,390,515.6666666666666
575,remaxjs/remax,TypeScript,4419,1154,797,368,773.0
576,oakserver/oak,TypeScript,4416,152,344,215,237.0
577,isaacs/node-lru-cache,TypeScript,4409,108,143,346,199.0
578,surmon-china/videojs-player,TypeScript,4408,35,410,1083,509.3333333333333
579,jaredpalmer/the-platform,TypeScript,4400,79,36,116,77.0
580,shakiba/planck.js,TypeScript,4400,73,134,271,159.33333333333334
581,auchenberg/vscode-browser-preview,TypeScript,4385,49,151,150,116.66666666666667
582,pacocoursey/cmdk,TypeScript,4383,28,23,85,45.333333333333336
583,bvaughn/react-error-boundary,TypeScript,4382,62,58,160,93.33333333333333
584,gridstack/gridstack.js,TypeScript,4359,879,1207,1142,1076.0
585,Shopify/react-native-skia,TypeScript,4356,530,357,228,371.6666666666667
586,theintern/intern,TypeScript,4352,282,911,324,505.6666666666667
587,hotwired/turbo,TypeScript,4348,371,403,267,347.0
588,clintonwoo/hackernews-react-graphql,TypeScript,4342,39,35,559,211.0
589,loopbackio/loopback-next,TypeScript,4327,5978,2717,992,3229.0
590,PaulLeCam/react-leaflet,TypeScript,4327,262,773,858,631.0
591,marp-team/marp,TypeScript,4298,109,0,98,69.0
592,matteobruni/tsparticles,TypeScript,4283,4262,333,500,1698.3333333333333
593,benjamn/recast,TypeScript,4279,843,372,334,516.3333333333334
594,auth0/express-jwt,TypeScript,4275,124,180,428,244.0
595,leerob/leerob.io,TypeScript,4268,425,114,810,449.6666666666667
596,googleworkspace/md2googleslides,TypeScript,4264,113,67,281,153.66666666666666
597,vercel/ms,TypeScript,4261,116,66,251,144.33333333333334
598,yeemachine/kalidokit,TypeScript,4254,16,49,527,197.33333333333334
599,mockoon/mockoon,TypeScript,4245,169,480,242,297.0
600,emmetio/emmet,TypeScript,4235,129,562,498,396.3333333333333
601,firebase/firebase-js-sdk,TypeScript,4230,4099,2374,787,2420.0
602,ngx-translate/core,TypeScript,4217,231,1142,548,640.3333333333334
603,microsoft/code-push,TypeScript,4207,354,442,467,421.0
604,seek-oss/playroom,TypeScript,4190,143,120,176,146.33333333333334
605,alexjoverm/typescript-library-starter,TypeScript,4176,183,154,495,277.3333333333333
606,prisma/prisma-examples,TypeScript,4168,3848,314,1098,1753.3333333333333
607,microsoft/tsdoc,TypeScript,4168,181,154,121,152.0
608,meienberger/runtipi,TypeScript,4164,146,91,91,109.33333333333333
609,snyk/cli,TypeScript,4159,3627,514,499,1546.6666666666667
610,tremorlabs/tremor,TypeScript,4155,87,40,68,65.0
611,swimlane/ngx-charts,TypeScript,4154,500,1303,1136,979.6666666666666
612,netless-io/flat,TypeScript,4153,1654,66,542,754.0
613,Automattic/simplenote-electron,TypeScript,4152,1609,1477,531,1205.6666666666667
614,google/gts,TypeScript,4140,563,174,181,306.0
615,sqlectron/sqlectron-gui,TypeScript,4113,266,450,483,399.6666666666667
616,wclr/yalc,TypeScript,4107,61,147,111,106.33333333333333
617,jaredpalmer/after.js,TypeScript,4102,300,241,214,251.66666666666666
618,purocean/yn,TypeScript,4085,51,141,739,310.3333333333333
619,Heroic-Games-Launcher/HeroicGamesLauncher,TypeScript,4065,754,1027,233,671.3333333333334
620,rancher-sandbox/rancher-desktop,TypeScript,4057,1286,1787,183,1085.3333333333333
621,gitname/react-gh-pages,TypeScript,4051,49,63,665,259.0
622,vuejs/composition-api,TypeScript,4049,332,635,352,439.6666666666667
623,improbable-eng/grpc-web,TypeScript,4045,810,315,408,511.0
624,microsoft/FluidFramework,TypeScript,4045,9378,3181,407,4322.0
625,google/tamperchrome,TypeScript,4042,100,106,242,149.33333333333334
626,NervJS/taro-ui,TypeScript,4035,219,1299,717,745.0
627,markmap/markmap,TypeScript,4033,5,113,236,118.0
628,jamiebuilds/unstated-next,TypeScript,4016,40,62,138,80.0
629,microsoft/codetour,TypeScript,4016,56,202,88,115.33333333333333
630,ritz078/transform,TypeScript,4013,206,135,280,207.0
631,draft-js-plugins/draft-js-plugins,TypeScript,4009,1980,1004,1011,1331.6666666666667
632,massCodeIO/massCode,TypeScript,3997,105,57,107,89.66666666666667
633,Azure/autorest,TypeScript,3993,2413,1995,716,1708.0
634,cypress-io/cypress-realworld-app,TypeScript,3990,1126,121,1246,831.0
635,doodlewind/jshistory-cn,TypeScript,3984,16,24,300,113.33333333333333
636,BuilderIO/builder,TypeScript,3971,1182,135,518,611.6666666666666
637,refinedev/refine,TypeScript,3969,1973,826,316,1038.3333333333333
638,hashicorp/terraform-cdk,TypeScript,3961,1142,1073,342,852.3333333333334
639,Yoctol/bottender,TypeScript,3957,747,233,328,436.0
640,Huachao/vscode-restclient,TypeScript,3948,133,899,326,452.6666666666667
641,tridactyl/tridactyl,TypeScript,3944,2483,1922,360,1588.3333333333333
642,effector/effector,TypeScript,3941,444,326,183,317.6666666666667
643,ngrx/store,TypeScript,3940,107,359,320,262.0
644,shanalikhan/code-settings-sync,TypeScript,3921,330,1055,394,593.0
645,pop-os/shell,TypeScript,3918,367,1078,223,556.0
646,angular/universal,TypeScript,3917,1548,1277,488,1104.3333333333333
647,gorhom/react-native-bottom-sheet,TypeScript,3914,282,796,428,502.0
648,antvis/X6,TypeScript,3910,870,1553,1247,1223.3333333333333
649,buttercup/buttercup-desktop,TypeScript,3909,420,727,320,489.0
650,microsoft/VoTT,TypeScript,3908,591,474,801,622.0
651,stream-labs/desktop,TypeScript,3905,4337,0,630,1655.6666666666667
652,shikijs/shiki,TypeScript,3899,183,184,161,176.0
653,vega/vega-lite,TypeScript,3897,5096,3279,499,2958.0
654,typestack/routing-controllers,TypeScript,3897,351,569,369,429.6666666666667
655,turbulenz/turbulenz_engine,TypeScript,3896,17,43,514,191.33333333333334
656,johnsoncodehk/volar,TypeScript,3874,191,1687,201,693.0
657,javascriptdata/danfojs,TypeScript,3874,149,302,170,207.0
658,serverless-nextjs/serverless-next.js,TypeScript,3865,1572,902,434,969.3333333333334
659,vendure-ecommerce/vendure,TypeScript,3864,324,1219,656,733.0
660,manosim/gitify,TypeScript,3846,298,255,244,265.6666666666667
661,niieani/hashids.js,TypeScript,3843,435,85,214,244.66666666666666
662,provectus/kafka-ui,TypeScript,3837,1653,1037,481,1057.0
663,loiane/javascript-datastructures-algorithms,TypeScript,3837,142,67,1100,436.3333333333333
664,nteract/hydrogen,TypeScript,3824,872,1262,380,838.0
665,jlfwong/speedscope,TypeScript,3824,169,239,169,192.33333333333334
666,hustcc/echarts-for-react,TypeScript,3819,65,446,537,349.3333333333333
667,smogon/pokemon-showdown,TypeScript,3818,8123,660,2287,3690.0
668,alexjlockwood/ShapeShifter,TypeScript,3805,12,345,199,185.33333333333334
669,standardnotes/app,TypeScript,3787,1334,0,307,547.0
670,michaelgrosner/tribeca,TypeScript,3775,92,157,942,397.0
671,LasCC/Hack-Tools,TypeScript,3770,93,26,443,187.33333333333334
672,i18next/next-i18next,TypeScript,3755,849,1055,640,848.0
673,yang991178/fluent-reader,TypeScript,3754,95,384,263,247.33333333333334
674,google/wireit,TypeScript,3753,381,93,57,177.0
675,meetalva/alva,TypeScript,3748,564,329,226,373.0
676,jaredpalmer/react-fns,TypeScript,3743,62,51,106,73.0
677,vercel/og-image,TypeScript,3737,148,80,1280,502.6666666666667
678,grid-js/gridjs,TypeScript,3731,906,251,172,443.0
679,Uniswap/interface,TypeScript,3729,2600,1911,3493,2668.0
680,diegohaz/constate,TypeScript,3723,86,72,93,83.66666666666667
681,compodoc/compodoc,TypeScript,3721,216,1056,370,547.3333333333334
682,hygieia/hygieia,TypeScript,3720,1318,2026,1815,1719.6666666666667
683,sanity-io/sanity,TypeScript,3718,2444,1195,329,1322.6666666666667
684,growthbook/growthbook,TypeScript,3711,384,277,192,284.3333333333333
685,jspm/jspm-cli,TypeScript,3710,292,2222,291,935.0
686,mozilla/shumway,TypeScript,3698,1609,844,434,962.3333333333334
687,vscode-icons/vscode-icons,TypeScript,3697,1742,1418,809,1323.0
688,man-group/dtale,TypeScript,3679,221,480,303,334.6666666666667
689,react-native-async-storage/async-storage,TypeScript,3675,299,503,401,401.0
690,i5ting/imove,TypeScript,3673,42,97,314,151.0
691,rowyio/rowy,TypeScript,3669,489,274,237,333.3333333333333
692,Qihoo360/wayne,TypeScript,3662,299,323,834,485.3333333333333
693,fb55/htmlparser2,TypeScript,3661,1053,267,367,562.3333333333334
694,grpc/grpc-node,TypeScript,3656,1277,917,538,910.6666666666666
695,thebuilder/react-intersection-observer,TypeScript,3648,341,210,145,232.0
696,kriasoft/relay-starter-kit,TypeScript,3640,278,74,559,303.6666666666667
697,sindresorhus/ow,TypeScript,3635,126,118,95,113.0
698,samdenty/gqless,TypeScript,3633,100,131,50,93.66666666666667
699,maplibre/maplibre-gl-js,TypeScript,3628,1228,442,343,671.0
700,bitwarden/desktop,TypeScript,3628,749,696,417,620.6666666666666
701,rcbyr/keen-slider,TypeScript,3624,40,243,154,145.66666666666666
702,google/clasp,TypeScript,3622,456,490,395,447.0
703,NaoTu/DesktopNaotu,TypeScript,3620,4,133,585,240.66666666666666
704,nefe/number-precision,TypeScript,3615,24,27,321,124.0
705,peers/peerjs-server,TypeScript,3615,93,194,973,420.0
706,callstack/haul,TypeScript,3612,417,351,216,328.0
707,egoist/tsup,TypeScript,3608,456,255,114,275.0
708,aholachek/react-flip-toolkit,TypeScript,3598,69,130,129,109.33333333333333
709,actions/toolkit,TypeScript,3597,629,450,1210,763.0
710,le5le-com/topology,TypeScript,3591,176,167,890,411.0
711,danvk/source-map-explorer,TypeScript,3587,118,115,113,115.33333333333333
712,DulLabs/bhai-lang,TypeScript,3581,135,136,444,238.33333333333334
713,Shopify/hydrogen,TypeScript,3581,1387,624,292,767.6666666666666
714,scribbletune/scribbletune,TypeScript,3580,66,105,258,143.0
715,concrete-utopia/utopia,TypeScript,3575,1899,796,139,944.6666666666666
716,microsoft/tsyringe,TypeScript,3574,89,118,124,110.33333333333333
717,iorate/ublacklist,TypeScript,3572,88,194,141,141.0
718,ethereum-boilerplate/ethereum-boilerplate,TypeScript,3565,104,84,2979,1055.6666666666667
719,Cveinnt/LiveTerm,TypeScript,3562,18,17,255,96.66666666666667
720,salesforce/akita,TypeScript,3557,386,504,335,408.3333333333333
721,bitpay/wallet,TypeScript,3549,6370,5493,1803,4555.333333333333
722,firebase/firebase-tools,TypeScript,3548,2499,2607,810,1972.0
723,btroncone/learn-rxjs,TypeScript,3542,224,56,416,232.0
724,WorldBrain/Memex,TypeScript,3540,643,578,285,502.0
725,benawad/destiny,TypeScript,3527,103,88,81,90.66666666666667
726,varHarrie/varharrie.github.io,TypeScript,3512,9,38,546,197.66666666666666
727,ionic-team/ionic-conference-app,TypeScript,3508,1369,395,1787,1183.6666666666667
728,LyraSearch/lyra,TypeScript,3506,96,63,73,77.33333333333333
729,frejs/fre,TypeScript,3493,220,116,338,224.66666666666666
730,google/incremental-dom,TypeScript,3480,345,143,192,226.66666666666666
731,TanStack/virtual,TypeScript,3478,193,146,176,171.66666666666666
732,orchest/orchest,TypeScript,3477,923,462,207,530.6666666666666
733,ProtonMail/WebClients,TypeScript,3475,57,227,461,248.33333333333334
734,wcandillon/can-it-be-done-in-react-native,TypeScript,3462,77,97,1203,459.0
735,WalletConnect/web3modal,TypeScript,3460,290,330,855,491.6666666666667
736,arco-design/arco-design,TypeScript,3459,752,731,418,633.6666666666666
737,lingui/js-lingui,TypeScript,3457,535,714,319,522.6666666666666
738,peaceiris/actions-gh-pages,TypeScript,3424,570,190,275,345.0
739,surveyjs/survey-library,TypeScript,3419,1384,3588,692,1888.0
740,butlerx/wetty,TypeScript,3415,168,271,622,353.6666666666667
741,webhintio/hint,TypeScript,3415,3561,1732,489,1927.3333333333333
742,gristlabs/grist-core,TypeScript,3408,115,207,156,159.33333333333334
743,steven-tey/dub,TypeScript,3407,44,36,139,73.0
744,0xfe/vexflow,TypeScript,3407,738,709,595,680.6666666666666
745,typings/typings,TypeScript,3406,188,626,275,363.0
746,gajus/slonik,TypeScript,3405,129,269,111,169.66666666666666
747,JordanKnott/taskcafe,TypeScript,3399,37,76,279,130.66666666666666
748,bytebase/star-history,TypeScript,3374,163,75,178,138.66666666666666
749,geist-org/geist-ui,TypeScript,3368,438,276,293,335.6666666666667
750,bqplot/bqplot,TypeScript,3365,959,572,470,667.0
751,vscode-neovim/vscode-neovim,TypeScript,3362,204,840,142,395.3333333333333
752,facebook/memlab,TypeScript,3343,18,30,74,40.666666666666664
753,felixrieseberg/windows-build-tools,TypeScript,3342,54,210,258,174.0
754,imcuttle/mometa,TypeScript,3338,4,39,501,181.33333333333334
755,mattallty/Caporal.js,TypeScript,3336,125,120,126,123.66666666666667
756,dimatill/graphql-shield,TypeScript,3330,1230,226,164,540.0
757,lewish/asciiflow,TypeScript,3328,64,189,285,179.33333333333334
758,JetBrains/ring-ui,TypeScript,3320,4930,0,194,1708.0
759,alibaba/GGEditor,TypeScript,3320,124,476,563,387.6666666666667
760,reactjs/react-docgen,TypeScript,3318,368,300,280,316.0
761,nocobase/nocobase,TypeScript,3315,573,210,400,394.3333333333333
762,ngxs/store,TypeScript,3314,1124,767,380,757.0
763,typestack/typedi,TypeScript,3312,738,182,157,359.0
764,transitive-bullshit/nextjs-notion-starter-kit,TypeScript,3306,132,246,2939,1105.6666666666667
765,hedgedoc/hedgedoc,TypeScript,3302,2125,572,271,989.3333333333334
766,axe312ger/sqip,TypeScript,3295,201,58,105,121.33333333333333
767,TypeStrong/ts-loader,TypeScript,3293,726,789,438,651.0
768,styletron/styletron,TypeScript,3292,247,182,127,185.33333333333334
769,stutrek/scrollmonitor,TypeScript,3290,36,66,252,118.0
770,davidtheclark/cosmiconfig,TypeScript,3288,153,126,149,142.66666666666666
